param_type,width_multiplier,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_3,1,0,0.007550077,0.04342691,0.022706402,0.15366119
muP_3,1,1,0.010133514,0.044586007,0.024698991,0.18690877
muP_3,1,2,0.009123293,0.0465406,0.032971155,0.21568243
muP_3,1,3,0.007214148,0.051489294,0.0358401,0.1886424
muP_3,2,0,0.009970501,0.04720726,0.032976948,0.20900102
muP_3,2,1,0.009636066,0.05956092,0.038405158,0.23675592
muP_3,2,2,0.0077048354,0.046978172,0.03678183,0.22673148
muP_3,2,3,0.008511282,0.05463281,0.034708977,0.21721868
muP_3,4,0,0.0077208183,0.04899836,0.028324308,0.1691783
muP_3,4,1,0.008496262,0.043609686,0.02772256,0.16566826
muP_3,4,2,0.009232564,0.058036026,0.041958995,0.24326415
muP_3,4,3,0.0091637485,0.057203375,0.031262018,0.2006226
muP_3,8,0,0.008879333,0.05269153,0.03458727,0.20349436
muP_3,8,1,0.0092226,0.051768735,0.030774193,0.17379312
muP_3,8,2,0.0103232125,0.065607466,0.042263225,0.23871511
muP_3,8,3,0.008495163,0.051937282,0.033057764,0.19690032
muP_3,16,0,0.008798931,0.053653996,0.032603208,0.18962695
muP_3,16,1,0.009691572,0.054233704,0.034057174,0.20277336
muP_3,16,2,0.008848736,0.058251232,0.037532996,0.21759233
muP_3,16,3,0.008412752,0.05511174,0.032849204,0.1927486
muP_3,32,0,0.008572706,0.05287679,0.032777935,0.1919299
muP_3,32,1,0.009295696,0.055181492,0.034712516,0.20793752
muP_3,32,2,0.008727673,0.05128911,0.032536194,0.19042237
muP_3,32,3,0.009114397,0.05633809,0.036286216,0.21448629
muP_3,64,0,0.008592446,0.05125841,0.03214179,0.18738149
muP_3,64,1,0.008622782,0.05131919,0.032030884,0.19007933
muP_3,64,2,0.0085042,0.0515845,0.032673575,0.18994926
muP_3,64,3,0.008501515,0.053421263,0.033538766,0.19498892
standard,1,0,0.007550077,0.04342691,0.022706402,0.15366119
standard,1,1,0.010133514,0.044586007,0.024698991,0.18690877
standard,1,2,0.009123292,0.0465406,0.03297115,0.21568243
standard,1,3,0.007214147,0.051489294,0.0358401,0.18864238
standard,2,0,0.009968652,0.04714011,0.032712385,0.25513658
standard,2,1,0.009767389,0.05969394,0.037807405,0.28236887
standard,2,2,0.0075802305,0.046995766,0.036811247,0.27504855
standard,2,3,0.008605636,0.054676805,0.034370404,0.2641041
standard,4,0,0.0077828276,0.04922247,0.027987592,0.26970202
standard,4,1,0.008570866,0.04397871,0.027122242,0.24709027
standard,4,2,0.00926997,0.058011394,0.041329317,0.37553978
standard,4,3,0.009175084,0.05818431,0.031384204,0.32135898
standard,8,0,0.008936329,0.052940607,0.03400379,0.41605788
standard,8,1,0.009180527,0.052194882,0.030280024,0.360283
standard,8,2,0.010320528,0.066075385,0.041701697,0.493437
standard,8,3,0.008561593,0.052440517,0.032301717,0.40471056
standard,16,0,0.008872914,0.054247197,0.03141829,0.51956797
standard,16,1,0.00978169,0.054202516,0.03321436,0.561045
standard,16,2,0.00883709,0.058544293,0.03649739,0.59591806
standard,16,3,0.008394245,0.0561035,0.032019116,0.5401891
standard,32,0,0.008677623,0.053422626,0.0315441,0.72068727
standard,32,1,0.009337278,0.055157866,0.033461146,0.78456706
standard,32,2,0.008822963,0.051848255,0.031228237,0.71236783
standard,32,3,0.0092168525,0.056711275,0.03484483,0.80508035
standard,64,0,0.008691694,0.05161705,0.030629061,0.9618193
standard,64,1,0.008696063,0.051728267,0.030528272,0.98209345
standard,64,2,0.008626372,0.051872008,0.031099964,0.9694708
standard,64,3,0.00866445,0.053834844,0.03196246,1.0087519
