param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,1,0,0.18642996,0.0860677,0.39313546,0.15961847,0.09481376,0.014915674
muP_SSM,1,1,0.14805044,0.04031717,0.19029658,0.10782058,0.119524345,0.049828235
muP_SSM,1,2,0.1299288,0.007953585,0.110786065,0.066916496,0.0804015,0.082666524
muP_SSM,2,0,0.27364534,0.14034888,0.5070387,0.15825072,0.07603355,0.09907264
muP_SSM,2,1,0.3125351,0.13714549,0.5147354,0.29614207,0.15043506,0.041463878
muP_SSM,2,2,0.36615565,0.10270222,0.38812104,0.20895375,0.12928218,0.22363931
muP_SSM,4,0,0.31342584,0.21274304,0.696882,0.36219501,0.16769858,0.055560023
muP_SSM,4,1,0.32459527,0.12601325,0.4877983,0.2743151,0.13540633,0.076834664
muP_SSM,4,2,0.3615838,0.13618639,0.54519975,0.30139264,0.11372381,0.103100844
muP_SSM,8,0,0.33233166,0.2275099,0.75443494,0.4554635,0.25886533,0.06330171
muP_SSM,8,1,0.3747815,0.20579152,0.719646,0.41216096,0.23314267,0.053536434
muP_SSM,8,2,0.36701185,0.19785412,0.5628213,0.34538072,0.15233107,0.050080106
muP_SSM,16,0,0.33169955,0.1986698,0.6557167,0.36963904,0.2186483,0.05838836
muP_SSM,16,1,0.39593363,0.23517933,0.76142824,0.5306669,0.28767937,0.051747497
muP_SSM,16,2,0.38338396,0.19205937,0.60747707,0.39349133,0.19014287,0.0344626
muP_SSM,32,0,0.39235654,0.18385497,0.72720826,0.45417973,0.26298904,0.041688565
muP_SSM,32,1,0.37683824,0.16806743,0.64088595,0.41343334,0.22172303,0.067254275
muP_SSM,32,2,0.41510698,0.19421639,0.7259173,0.45482218,0.301121,0.06337481
muP_SSM,64,0,0.4033849,0.18839341,0.7267398,0.46858275,0.30853492,0.030734297
muP_SSM,64,1,0.383406,0.20424101,0.8512159,0.5463094,0.34067494,0.047747158
muP_SSM,64,2,0.4154595,0.197114,0.7721661,0.53195417,0.31125304,0.039804682
muP_SSM,128,0,0.39273533,0.1717284,0.7169378,0.46514145,0.3224825,0.022452941
muP_SSM,128,1,0.38116902,0.17811379,0.80615044,0.49911365,0.3365213,0.04276927
muP_SSM,128,2,0.39555547,0.18507752,0.81388617,0.5384693,0.3734143,0.031137628
muP_SSM,256,0,0.38532144,0.16050336,0.7616677,0.4978982,0.31298003,0.027773922
muP_SSM,256,1,0.3890751,0.15274146,0.73093545,0.4869806,0.29041207,0.034240663
muP_SSM,256,2,0.4048515,0.17726156,0.9272917,0.58493364,0.40811622,0.029041734
muP_SSM,512,0,0.39178425,0.16313067,0.9020054,0.5830051,0.38173237,0.036045402
muP_SSM,512,1,0.39675695,0.15959543,0.9099169,0.57412595,0.3656876,0.023392988
muP_SSM,512,2,0.3983466,0.16008876,0.93983513,0.5903252,0.41081792,0.021803875
muP_3,1,0,0.18642996,0.0860677,0.39313546,0.15961847,0.09481376,0.014915674
muP_3,1,1,0.14805044,0.04031717,0.19029658,0.10782058,0.119524345,0.049828235
muP_3,1,2,0.1299288,0.007953585,0.110786065,0.066916496,0.0804015,0.082666524
muP_3,2,0,0.28552267,0.12537152,0.51906085,0.15804556,0.076736175,0.09463518
muP_3,2,1,0.29755867,0.12687929,0.3953162,0.19976999,0.09949192,0.024631327
muP_3,2,2,0.39294422,0.08224877,0.3425914,0.189176,0.12344997,0.21108118
muP_3,4,0,0.3167287,0.15090658,0.63287205,0.3301185,0.17499308,0.065864414
muP_3,4,1,0.33909774,0.099446826,0.4506651,0.2589217,0.11727958,0.07289317
muP_3,4,2,0.36210883,0.11752694,0.50896317,0.2724138,0.1005299,0.09675614
muP_3,8,0,0.3651934,0.13806528,0.59889203,0.3628636,0.1911841,0.06336663
muP_3,8,1,0.38867673,0.14122842,0.5434514,0.3430978,0.17531843,0.083974175
muP_3,8,2,0.34938177,0.1102231,0.4839261,0.24729638,0.12515798,0.032665096
muP_3,16,0,0.34697115,0.102968134,0.5107094,0.28211388,0.15495583,0.029223053
muP_3,16,1,0.39637938,0.11378845,0.530067,0.3597882,0.16630332,0.045812678
muP_3,16,2,0.3930035,0.098285474,0.5184682,0.31036773,0.16082257,0.03131455
muP_3,32,0,0.38909686,0.05749543,0.5079038,0.31842837,0.15406848,0.031582557
muP_3,32,1,0.36128706,0.065653704,0.4278519,0.28695217,0.1473118,0.048236683
muP_3,32,2,0.4017077,0.0685657,0.49793807,0.3278272,0.19233997,0.041400794
muP_3,64,0,0.4041722,0.051103182,0.46157554,0.31823716,0.17660221,0.02776607
muP_3,64,1,0.3969479,0.064214975,0.49719474,0.32700795,0.16533236,0.039607495
muP_3,64,2,0.4104639,0.0555369,0.49648696,0.33501878,0.18159209,0.04262483
muP_3,128,0,0.40824437,0.04068585,0.46261495,0.31103888,0.18112975,0.011014596
muP_3,128,1,0.39714986,0.04053566,0.45824835,0.29914832,0.15786432,0.013512464
muP_3,128,2,0.42475736,0.03906902,0.48425594,0.33474812,0.18681899,0.024167022
muP_3,256,0,0.4043082,0.02728422,0.4439772,0.2969652,0.17039643,0.014254688
muP_3,256,1,0.4054158,0.026846772,0.4389646,0.29798287,0.16685718,0.027823936
muP_3,256,2,0.42129463,0.029018313,0.47270846,0.32132787,0.18980828,0.013728057
muP_3,512,0,0.4113924,0.016022405,0.43354774,0.28971928,0.17273994,0.005280518
muP_3,512,1,0.41625723,0.018353578,0.45020798,0.3005026,0.1710936,0.012802378
muP_3,512,2,0.42105645,0.017399305,0.44908836,0.30120304,0.18181777,0.011791695
standard,1,0,0.18642996,0.0860677,0.39313546,0.15961847,0.09481376,0.014915674
standard,1,1,0.14805044,0.04031717,0.19029658,0.10782058,0.119524345,0.049828235
standard,1,2,0.1299288,0.007953585,0.110786065,0.066916496,0.0804015,0.082666524
standard,2,0,0.28724343,0.11297567,0.4968183,0.14031366,0.07674739,0.08841048
standard,2,1,0.28350094,0.1146255,0.36152348,0.18607076,0.08388416,0.029802443
standard,2,2,0.38345516,0.080368415,0.3631607,0.19515376,0.12709069,0.19521418
standard,4,0,0.29612705,0.123485684,0.5496081,0.26591435,0.116791144,0.057013147
standard,4,1,0.33690047,0.09506162,0.3802596,0.21715559,0.102627546,0.06778509
standard,4,2,0.35111517,0.11684943,0.47154868,0.2310938,0.0883355,0.09136373
standard,8,0,0.32753038,0.12214632,0.48144567,0.27986687,0.12422793,0.054882724
standard,8,1,0.33312446,0.107638665,0.40413725,0.21489662,0.098838046,0.084040985
standard,8,2,0.33835435,0.108289495,0.3942142,0.17381987,0.07993238,0.032545503
standard,16,0,0.31492028,0.07888326,0.37695143,0.18493426,0.07746704,0.022871075
standard,16,1,0.359087,0.085917555,0.40209785,0.22187571,0.081545316,0.043460943
standard,16,2,0.354757,0.073302954,0.37335798,0.18820919,0.067311704,0.028138895
standard,32,0,0.34599185,0.041938297,0.37038764,0.18365914,0.06869362,0.022550358
standard,32,1,0.33487323,0.041713286,0.33785,0.17492428,0.065835945,0.04027864
standard,32,2,0.352131,0.046,0.35573262,0.18567863,0.08747183,0.034106452
standard,64,0,0.34057176,0.034879528,0.31819096,0.16071925,0.07384015,0.019959072
standard,64,1,0.34365547,0.04107019,0.3422983,0.1734336,0.06758565,0.026116338
standard,64,2,0.35609534,0.033853725,0.32519838,0.16723311,0.06590155,0.041474786
standard,128,0,0.33684954,0.022417584,0.29058513,0.14438058,0.06098025,0.011531837
standard,128,1,0.33363473,0.024074147,0.2908399,0.14511608,0.053426966,0.018327035
standard,128,2,0.34677404,0.023258604,0.30138263,0.15879986,0.06358367,0.033447392
standard,256,0,0.3382756,0.013169086,0.27446476,0.13708794,0.051754326,0.019672196
standard,256,1,0.32682085,0.012667438,0.26765558,0.13512747,0.051587895,0.027756663
standard,256,2,0.34607375,0.0137498,0.2898081,0.14766954,0.054173216,0.032276444
standard,512,0,0.33605242,0.007813081,0.26717478,0.1335917,0.05132495,0.00847629
standard,512,1,0.33219817,0.007345494,0.2688911,0.13748135,0.052665155,0.020938342
standard,512,2,0.33917353,0.007225618,0.27403998,0.13834703,0.052182455,0.032312542
